JFK,0,0,0,0,.333,.667,1,1,.667,.667,0,0
LGA,0,0,0,0,.333,.667,1,1,.667,.667,0,0
IAH,0,0,.333,.333,.667,.667,.667,.667,.667,.667,.333,0
PHL,0,0,0,0,.333,.667,1,1,.667,.667,0,0
PHX,0,0,0,0,.333,0,.333,.333,.333,0,0,0
DFW,0,0,0,.333,.667,.667,.333,.333,.333,.333,.333,0
BOS,0,0,0,0,.333,.667,1,1,.667,.667,0,0
BWI,0,0,0,0,.333,.667,1,1,.667,.667,0,0
LAS,0,0,0,0,.333,0,.333,0,0,0,0,0
IAD,0,0,0,0,.333,.667,.667,.667,.667,.667,0,0
DCA,0,0,0,0,.333,.667,.667,.667,.667,.667,0,0
EWR,0,0,0,0,.333,.667,1,1,.667,.667,0,0
LAX,0,0,.333,0,.333,0,.333,.333,.333,.333,0,0
SFO,0,0,0,0,0,0,.333,0,0,0,0,0
ORD,0,0,0,0,.333,.667,.667,.667,.667,.333,0,0
MDW,0,0,0,0,.333,.667,.667,.667,.667,.333,0,0
SAN,0,0,0,0,0,0,.333,.333,.333,.333,0,0
MSP,0,0,0,0,0,0,0,0,0,0,0,0
TPA,.333,.333,.333,.667,.667,1,1,1,1,1,.667,.667
ATL,0,0,0,0,.667,1,.667,.667,.667,.333,0,0
CLT,0,0,0,0,.333,.667,.667,.667,.667,.667,0,0
FLL,.667,.667,.667,.667,1,1,1,1,1,1,1,.667
HNL,.333,.333,.333,.667,.667,.667,1,1,1,1,.667,.333
MC0,.333,.333,.333,.667,.667,.667,1,1,1,1,.667,.333
MIA,.667,.667,.667,.667,1,1,1,1,1,1,1,.667